case_id,activity,timestamp,CUSTOMER_ID,BRANCH_ID,ACCOUNT_TYPE,OPENING_BALANCE
A00001,Account Application Received,2014-03-01,C00001,B00019,Savings,520482
A00001,Account Application Received,2017-05-08,C00001,B00021,Fixed Deposit,760870
A00001,Account Activated,2017-05-11,C00001,B00021,Fixed Deposit,760870
A00001,Account Application Received,2022-03-02,C00001,B00005,Savings,584136
A00001,Account Activated,2022-03-05,C00001,B00005,Savings,584136
A00001,Account Closed,2022-10-07,C00001,B00005,Savings,584136
A00002,Account Application Received,2018-09-24,C00002,B00038,Fixed Deposit,268824
A00002,Account Activated,2018-09-27,C00002,B00038,Fixed Deposit,268824
A00002,Account Application Received,2019-01-13,C00002,B00005,Checking,412781
A00002,Account Activated,2019-01-16,C00002,B00005,Checking,412781
A00002,Account Application Received,2020-02-29,C00002,B00043,Fixed Deposit,270204
A00003,Account Application Received,2017-09-08,C00003,B00036,Savings,927468
A00003,Account Application Received,2017-10-06,C00003,B00032,Savings,414033
A00003,Account Activated,2017-10-09,C00003,B00032,Savings,414033
A00003,Account Closed,2018-06-05,C00003,B00032,Savings,414033
A00003,Account Application Received,2021-03-24,C00003,B00041,Savings,589218
A00003,Account Activated,2021-03-26,C00003,B00041,Savings,589218
A00004,Account Application Received,2017-11-15,C00004,B00021,Checking,202917
A00004,Account Activated,2017-11-17,C00004,B00021,Checking,202917
A00004,Account Closed,2018-02-09,C00004,B00021,Checking,202917
A00004,Account Application Received,2020-07-23,C00004,B00027,Checking,506021
A00004,Account Application Received,2020-08-30,C00004,B00008,Checking,546320
A00004,Account Activated,2020-08-31,C00004,B00008,Checking,546320
A00005,Account Application Received,2015-11-28,C00005,B00049,Savings,426326
A00005,Account Activated,2015-12-01,C00005,B00049,Savings,426326
A00005,Account Closed,2016-09-04,C00005,B00049,Savings,426326
A00005,Account Application Received,2017-03-09,C00005,B00026,Checking,66238
A00005,Account Application Received,2021-05-01,C00005,B00024,Fixed Deposit,457579
A00006,Account Application Received,2018-03-20,C00006,B00024,Savings,747732
A00006,Account Activated,2018-03-22,C00006,B00024,Savings,747732
A00006,Account Closed,2019-03-01,C00006,B00024,Savings,747732
A00006,Account Application Received,2020-09-03,C00006,B00010,Fixed Deposit,908163
A00006,Account Activated,2020-09-05,C00006,B00010,Fixed Deposit,908163
A00006,Account Application Received,2022-02-26,C00006,B00021,Savings,806772
A00006,Account Activated,2022-02-27,C00006,B00021,Savings,806772
A00007,Account Application Received,2014-05-22,C00007,B00020,Fixed Deposit,972492
A00007,Account Activated,2014-05-25,C00007,B00020,Fixed Deposit,972492
A00007,Account Closed,2014-11-08,C00007,B00020,Fixed Deposit,972492
A00007,Account Application Received,2018-11-28,C00007,B00001,Savings,316236
A00007,Account Activated,2018-11-30,C00007,B00001,Savings,316236
A00007,Account Application Received,2020-05-23,C00007,B00027,Checking,942771
A00007,Account Activated,2020-05-26,C00007,B00027,Checking,942771
A00007,Account Closed,2021-04-05,C00007,B00027,Checking,942771
A00008,Account Application Received,2018-12-02,C00008,B00049,Checking,322479
A00008,Account Activated,2018-12-05,C00008,B00049,Checking,322479
A00008,Account Application Received,2020-07-17,C00008,B00008,Fixed Deposit,580292
A00008,Account Application Received,2022-11-19,C00008,B00012,Checking,780278
A00008,Account Activated,2022-11-20,C00008,B00012,Checking,780278
A00008,Account Closed,2023-07-26,C00008,B00012,Checking,780278
A00009,Account Application Received,2016-06-10,C00009,B00044,Fixed Deposit,796905
A00009,Account Activated,2016-06-13,C00009,B00044,Fixed Deposit,796905
A00009,Account Closed,2017-05-26,C00009,B00044,Fixed Deposit,796905
A00009,Account Application Received,2018-07-10,C00009,B00021,Fixed Deposit,617621
A00009,Account Activated,2018-07-12,C00009,B00021,Fixed Deposit,617621
A00009,Account Application Received,2020-06-30,C00009,B00005,Savings,804102
A00010,Account Application Received,2016-10-22,C00010,B00050,Savings,129150
A00010,Account Application Received,2016-11-12,C00010,B00028,Checking,548251
A00010,Account Activated,2016-11-15,C00010,B00028,Checking,548251
A00010,Account Application Received,2022-05-31,C00010,B00006,Checking,695124
A00010,Account Activated,2022-06-01,C00010,B00006,Checking,695124
A00011,Account Application Received,2014-08-24,C00011,B00038,Fixed Deposit,151556
A00011,Account Application Received,2016-09-03,C00011,B00013,Checking,433578
A00011,Account Application Received,2018-06-16,C00011,B00014,Checking,401595
A00011,Account Activated,2018-06-17,C00011,B00014,Checking,401595
A00011,Account Closed,2019-02-23,C00011,B00014,Checking,401595
A00012,Account Application Received,2019-07-19,C00012,B00017,Savings,526819
A00012,Account Activated,2019-07-21,C00012,B00017,Savings,526819
A00012,Account Application Received,2019-10-27,C00012,B00005,Fixed Deposit,346915
A00012,Account Activated,2019-10-28,C00012,B00005,Fixed Deposit,346915
A00012,Account Application Received,2020-03-17,C00012,B00028,Savings,840259
A00012,Account Activated,2020-03-18,C00012,B00028,Savings,840259
A00012,Account Closed,2020-04-18,C00012,B00017,Savings,526819
A00012,Account Closed,2020-12-31,C00012,B00028,Savings,840259
A00013,Account Application Received,2016-05-29,C00013,B00026,Checking,134442
A00013,Account Activated,2016-05-30,C00013,B00026,Checking,134442
A00013,Account Closed,2017-04-02,C00013,B00026,Checking,134442
A00013,Account Application Received,2017-10-10,C00013,B00045,Savings,304579
A00013,Account Application Received,2022-10-25,C00013,B00040,Savings,514817
A00013,Account Activated,2022-10-26,C00013,B00040,Savings,514817
A00013,Account Closed,2023-09-27,C00013,B00040,Savings,514817
A00014,Account Application Received,2017-03-02,C00014,B00036,Savings,319179
A00014,Account Activated,2017-03-04,C00014,B00036,Savings,319179
A00014,Account Closed,2017-06-02,C00014,B00036,Savings,319179
A00014,Account Application Received,2017-12-17,C00014,B00045,Checking,209619
A00014,Account Activated,2017-12-18,C00014,B00045,Checking,209619
A00014,Account Closed,2018-05-19,C00014,B00045,Checking,209619
A00014,Account Application Received,2023-06-19,C00014,B00018,Fixed Deposit,683998
A00015,Account Application Received,2018-05-22,C00015,B00020,Checking,449096
A00015,Account Activated,2018-05-24,C00015,B00020,Checking,449096
A00015,Account Application Received,2018-07-27,C00015,B00019,Savings,881892
A00015,Account Activated,2018-07-28,C00015,B00019,Savings,881892
A00015,Account Application Received,2023-07-31,C00015,B00029,Fixed Deposit,735121
A00015,Account Activated,2023-08-03,C00015,B00029,Fixed Deposit,735121
A00016,Account Application Received,2014-02-07,C00016,B00019,Savings,948972
A00016,Account Activated,2014-02-09,C00016,B00019,Savings,948972
A00016,Account Closed,2014-08-27,C00016,B00019,Savings,948972
A00016,Account Application Received,2016-04-25,C00016,B00026,Fixed Deposit,946695
A00016,Account Activated,2016-04-28,C00016,B00026,Fixed Deposit,946695
A00016,Account Closed,2016-11-11,C00016,B00026,Fixed Deposit,946695
A00016,Account Application Received,2022-05-06,C00016,B00002,Savings,109965
A00016,Account Activated,2022-05-09,C00016,B00002,Savings,109965
